Manuf_Year,Brand,Model,Variant,Driver_KM,Fuel,Transmission,Location,Price
2013,Hyundai,i10 ,Sportz AT,30000.00,Petrol,Automatic,New Delhi,375000
2016,Maruti,Baleno ,1.2 Delta,66000.00,Petrol,Manual,New Delhi,480000
2011,Hyundai,i10 ,Sportz,62000.00,Petrol,Manual,New Delhi,210000
2018,BMW,5 Series,520d Sport Line,38000.00,Diesel,Automatic,New Delhi,4250000
2014,Hyundai,i20 ,Magna 1.4 CRDi,60000.00,Diesel,Manual,New Delhi,395000
2021,Toyota,Glanza ,G,7500.00,Petrol,Manual,New Delhi,810000
2011,Volkswagen,Vento ,Petrol Comfortline,26000.00,Petrol,Manual,New Delhi,260000
2016,Maruti,Vitara Brezza,ZDi Plus,49026.00,Diesel,Manual,New Delhi,700000
2013,Hyundai,i20 ,Magna Optional 1.4 CRDi,80000.00,Diesel,Manual,New Delhi,345000
2013,Honda,Brio ,S MT,66000.00,Petrol,Manual,New Delhi,285000
2018,Mahindra,XUV500 ,W9,58000.00,Diesel,Manual,New Delhi,1225000
2018,Hyundai,i20 ,Petrol CVT Asta,31000.00,Petrol,Automatic,New Delhi,710000
2019,Honda,Amaze ,S i-VTEC,17000.00,Petrol,Manual,New Delhi,640000
2016,Maruti,Ciaz ,ZDi,73000.00,Diesel,Manual,New Delhi,620000
2019,Hyundai,i20 ,1.4 Sportz,24000.00,Diesel,Manual,New Delhi,725000
2015,Maruti,Celerio ,VXI AT,51179.00,Petrol,Automatic,New Delhi,450000
2013,Mahindra,XUV500 ,W8 2WD,65000.00,Diesel,Manual,New Delhi,525000
2019,BMW,7 Series,730Ld DPE,35000.00,Diesel,Automatic,New Delhi,8500000
2011,Volkswagen,Polo ,Petrol Trendline 1.2L,71000.00,Petrol,Manual,New Delhi,234000
2017,Mahindra,KUV 100,G80 K8 6Str,27000.00,Petrol,Manual,New Delhi,464000
2019,Tata,Tiago ,1.2 Revotron XT,33000.00,Petrol,Manual,New Delhi,494000
2019,Honda,Amaze ,V Petrol,31000.00,Petrol,Manual,New Delhi,696000
2014,Tata,Safari Storme,VX,64000.00,Diesel,Manual,New Delhi,564000
2019,Toyota,Fortuner ,2.7 2WD AT BSIV,59000.00,Petrol,Automatic,New Delhi,3195000
2016,Mercedes-Benz,G ,AMG G 63 Edition 463,80000.00,Petrol,Automatic,New Delhi,0
2012,Skoda,Yeti ,Ambition 4X2,85000.00,Diesel,Manual,New Delhi,285000
2015,Mercedes-Benz,C-Class ,200 K Elegance AT,45000.00,Petrol,Automatic,New Delhi,1251000
2017,Hyundai,Creta ,1.6 CRDi AT SX Plus,53000.00,Diesel,Automatic,New Delhi,1040000
2014,Toyota,Fortuner ,4x2 AT,95000.00,Diesel,Automatic,New Delhi,1520000
2012,Audi,A6 ,2.0 TDI Premium Plus,79000.00,Diesel,Automatic,New Delhi,975000
2011,Audi,Q7 ,3.0 TDI quattro,85000.00,Diesel,Automatic,New Delhi,1350000
2015,Maruti,SX4 S,Alpha DDiS 200 SH,59000.00,Diesel,Manual,New Delhi,590000
2016,Audi,A6 ,35 TDI,47000.00,Diesel,Automatic,New Delhi,2490000
2016,Hyundai,Creta ,1.6 SX Automatic Diesel,80000.00,Diesel,Automatic,New Delhi,900000
2014,Hyundai,Santro Xing,GL Plus,32000.00,Petrol,Manual,New Delhi,275000
2018,Maruti,Wagon R,VXI 1.2,40000.00,Petrol,Manual,New Delhi,425000
2016,Maruti,Wagon R,CNG LXI,32000.00,CNG,Manual,New Delhi,385000
2011,Hyundai,i10 ,Magna,72000.00,Petrol,Manual,New Delhi,175000
2017,Maruti,Celerio ,ZXI AT Optional,28000.00,Petrol,Automatic,New Delhi,450000
2019,Jaguar,XF ,2.0 Diesel Portfolio,10000.00,Diesel,Automatic,New Delhi,4300000
2017,Ford,Endeavour ,2.2 Titanium AT 4X2,55000.00,Diesel,Automatic,New Delhi,2300000
2013,Mahindra,Bolero ,SLE,63000.00,Diesel,Manual,New Delhi,440000
2017,Nissan,Terrano ,XL Plus 85 PS,46000.00,Diesel,Manual,New Delhi,725000
2015,Honda,Mobilio ,V Option i-DTEC,70000.00,Diesel,Manual,New Delhi,590000
2011,Mercedes-Benz,E-Class ,E 200 CGI,70000.00,Petrol,Manual,New Delhi,1151000
2015,Honda,Amaze ,SX i-DTEC,80000.00,Diesel,Manual,New Delhi,390000
2015,Mercedes-Benz,C-Class ,200 K Elegance AT,45000.00,Petrol,Automatic,New Delhi,1251000
2017,Hyundai,Creta ,1.6 CRDi AT SX Plus,53000.00,Diesel,Automatic,New Delhi,1040000
2014,Toyota,Fortuner ,4x2 AT,95000.00,Diesel,Automatic,New Delhi,1520000
2012,Audi,A6 ,2.0 TDI Premium Plus,79000.00,Diesel,Automatic,New Delhi,975000
2011,Audi,Q7 ,3.0 TDI quattro,85000.00,Diesel,Automatic,New Delhi,1350000
2015,Maruti,SX4 S,Alpha DDiS 200 SH,59000.00,Diesel,Manual,New Delhi,590000
2016,Audi,A6 ,35 TDI,47000.00,Diesel,Automatic,New Delhi,2490000
2016,Hyundai,Creta ,1.6 SX Automatic Diesel,80000.00,Diesel,Automatic,New Delhi,900000
2014,Hyundai,Santro Xing,GL Plus,32000.00,Petrol,Manual,New Delhi,275000
2018,Maruti,Wagon R,VXI 1.2,40000.00,Petrol,Manual,New Delhi,425000
2016,Maruti,Wagon R,CNG LXI,32000.00,CNG,Manual,New Delhi,385000
2011,Hyundai,i10 ,Magna,72000.00,Petrol,Manual,New Delhi,175000
